Discount(%off),Frequency,Monetary
0.0,2,2900.0
9.130000000000004,1,2090.0
14.659999999999995,1,2799.0
41.959999999999994,2,1025.0
53.93,2,786.0
29.359999999999996,1,770.0
38.41,1,2710.0
0.0,1,1090.0
0.0,1,2880.0
45.599999999999994,1,16320.0
23.660000000000004,1,21300.0
39.910000000000004,1,420.0
79.69,1,199.0
53.010000000000005,1,3280.0
69.02,3,835.0
0.0,1,13999.0
50.0,1,3600.0
28.080000000000005,1,899.0
0.0,1,359.0
0.0,5,194500.0
27.439999999999998,2,11900.0
0.0,1,2680.0
0.0,1,8888.0
39.790000000000006,2,6960.0
64.22,4,4458.0
37.529999999999994,1,1799.0
46.209999999999994,1,780.0
65.16999999999999,2,1240.0
20.08,2,597.0
40.0,1,1500.0
9.109999999999996,2,5480.0
61.79,1,749.0
66.67,1,19999.0
52.1,1,479.0
18.669999999999998,1,10980.0
0.0,2,2664.0
45.620000000000005,2,788.0
0.0,1,389.0
42.910000000000004,3,2197.0
66.67,2,39998.0
0.0,1,450.0
27.63,1,4190.0
52.36000000000001,2,1534.0
25.029999999999998,1,5990.0
0.0,1,288.0
0.0,1,499.0
36.25000000000001,2,700.0
0.0,2,1425.0
23.460000000000004,2,7960.0
59.41000000000001,2,1380.0
14.329999999999998,1,299.0
28.610000000000003,1,499.0
0.0,1,15900.0
36.0,2,12703.0
33.39,1,399.0
35.86,3,10583.0
68.83,1,399.0
64.19,1,888.0
81.64,2,3746.0
49.339999999999996,2,6576.0
33.52,1,1190.0
0.0,1,399.0
0.0,1,200.0
32.089999999999996,1,1691.0
78.83,1,1480.0
0.0,1,688.0
0.0,3,10996.0
65.86000000000001,2,1638.0
30.310000000000002,1,899.0
35.74,4,1618.0
25.129999999999995,1,1490.0
4.849999999999999,2,3337.0
35.160000000000004,6,3754.0
0.0,1,1380.0
74.72,1,450.0
53.82,1,1598.0
50.82,1,1800.0
27.500000000000004,1,5800.0
10.229999999999995,1,1070.0
0.0,2,1360.0
28.21,1,1407.0
60.709999999999994,2,1980.0
53.010000000000005,1,3280.0
20.020000000000003,1,999.0
42.22,2,4160.0
16.720000000000002,1,4980.0
64.75,1,349.0
52.449999999999996,3,2948.0
7.140000000000002,2,7880.0
21.66,1,11900.0
63.06,2,1596.0
46.199999999999996,1,1980.0
9.489999999999998,5,1430.0
75.12,1,199.0
22.729999999999993,1,850.0
34.089999999999996,1,2630.0
39.62,1,9600.0
0.0,1,6595.0
28.800000000000004,1,2705.0
61.49,2,1340.0
18.47,1,799.0
59.699999999999996,1,3990.0
0.0,1,5490.0
47.27,1,3347.0
29.049999999999997,2,779.0
26.61,1,800.0
12.009999999999998,1,2279.0
0.0,1,499.0
0.0,1,890.0
16.720000000000002,1,27400.0
30.520000000000003,1,799.0
28.71,2,1490.0
37.839999999999996,1,2480.0
47.099999999999994,1,529.0
11.619999999999997,1,1149.0
14.000000000000002,1,1290.0
34.34,2,1300.0
43.43,1,611.0
58.35,2,4996.0
38.06,1,799.0
12.070000000000004,3,14498.0
47.28,1,9911.0
11.5,1,73900.0
30.000000000000004,4,840.0
0.0,1,890.0
37.68,4,4365.0
73.46,1,2967.0
36.33,2,4206.0
0.0,1,1684.0
53.67999999999999,1,440.0
0.0,1,449.0
50.13000000000001,1,199.0
57.89,1,918.0
3.1100000000000017,2,10919.0
32.92,3,7996.0
50.080000000000005,1,299.0
60.709999999999994,1,499.0
46.599999999999994,6,5211.0
66.75,1,399.0
0.0,1,299.0
0.0,1,1980.0
28.549999999999997,1,493.0
2.949999999999997,1,3290.0
24.009999999999998,2,3259.0
35.089999999999996,2,518.0
0.0,2,1600.0
52.93,2,658.0
0.0,1,350.0
14.690000000000003,2,5878.0
66.02,1,299.0
39.54,1,20315.0
28.080000000000005,1,899.0
5.9300000000000015,3,4760.0
0.0,1,26900.0
24.750000000000007,7,9880.0
0.0,2,989.0
14.939999999999998,1,2790.0
0.0,1,850.0
25.22,1,3739.0
71.59,1,2841.0
45.24,2,788.0
0.0,1,390.0
0.0,1,1150.0
2.1499999999999964,1,2690.0
58.84,1,1708.0
30.000000000000004,1,700.0
62.660000000000004,1,3688.0
24.450000000000006,1,8990.0
36.49,2,1899.0
40.25,1,4111.0
1.429999999999998,1,1375.0
49.760000000000005,1,929.0
27.180000000000003,4,2036.0
50.01,4,5559.0
31.269999999999996,1,3780.0
60.12,1,199.0
60.03000000000001,1,799.0
16.549999999999997,2,2470.0
0.0,2,31960.0
34.940000000000005,1,553.0
0.0,1,599.0
62.660000000000004,1,3688.0
40.76,2,888.0
15.53,2,7400.0
37.89,2,944.0
0.0,2,49687.0
37.59,1,2490.0
0.0,1,598.0
15.110000000000001,2,2248.0
59.660000000000004,1,599.0
9.999999999999998,2,1350.0
56.00000000000001,1,22000.0
0.0,1,7340.0
5.3799999999999955,1,1759.0
68.84,1,498.0
0.0,1,63500.0
45.47,1,6980.0
39.900000000000006,2,1178.0
67.73,1,3388.0
0.0,1,1100.0
31.14,2,39800.0
29.410000000000004,2,960.0
59.84,1,19999.0
47.9,1,1240.0
0.0,1,6990.0
0.0,1,400.0
2.639999999999998,1,2580.0
0.0,1,790.0
0.0,1,1180.0
15.920000000000002,1,1849.0
33.309999999999995,3,807.0
23.89,3,2169.0
0.0,1,8888.0
27.339999999999996,2,1860.0
0.0,7,1188.0
68.45,2,1512.0
61.870000000000005,2,1819.0
13.839999999999996,1,1594.0
2.729999999999999,3,21789.0
0.0,1,1412.0
34.660000000000004,2,7762.0
45.85,2,378.0
61.15999999999999,1,1709.0
45.230000000000004,2,4360.0
47.34,1,990.0
20.040000000000003,1,399.0
0.0,1,34980.0
65.32,1,1212.0
53.32,1,1111.0
0.0,1,4750.0
64.75,1,698.0
0.0,1,289.0
0.0,1,1280.0
0.0,1,2360.0
34.0,1,990.0
0.0,1,1490.0
45.76,1,2061.0
55.400000000000006,1,785.0
27.65,2,2156.0
0.0,1,900.0
18.789999999999996,1,2420.0
52.300000000000004,6,3147.0
9.899999999999999,2,34590.0
52.839999999999996,1,1179.0
6.669999999999998,3,4197.0
26.459999999999994,1,13900.0
20.75,1,1680.0
33.330000000000005,2,800.0
60.51,1,699.0
10.099999999999998,1,899.0
63.72,1,1088.0
48.33,1,2170.0
43.33,1,1105.0
16.690000000000005,2,1498.0
30.100000000000005,4,4005.0
25.029999999999998,3,2097.0
0.0,1,990.0
26.700000000000003,2,1098.0
0.0,1,1282.0
0.0,1,26900.0
0.0,1,845.0
63.660000000000004,2,1119.0
33.14,1,1043.0
5.369999999999997,1,899.0
29.34,1,1399.0
31.75,1,1290.0
0.0,1,545.0
0.0,1,5825.0
10.840000000000005,2,3290.0
17.549999999999997,3,681.0
0.0,1,22900.0
42.6,1,574.0
11.829999999999997,1,1490.0
75.12,1,745.0
0.0,1,168.0
54.13,3,11356.0
15.239999999999998,1,2780.0
0.0,2,29990.0
34.64,1,300.0
54.66,1,399.0
0.0,1,289.0
40.32,1,11280.0
0.0,1,1099.0
68.45,1,189.0
0.0,2,3780.0
9.999999999999998,1,2952.0
2.7800000000000047,1,350.0
38.349999999999994,4,561.0
0.0,1,380.0
0.0,1,1699.0
37.470000000000006,1,4490.0
12.529999999999998,1,349.0
24.2,1,379.0
23.080000000000002,2,1000.0
68.33,1,380.0
50.0,1,790.0
35.699999999999996,2,12660.0
50.0,1,399.0
74.0,2,9480.0
50.0,2,750.0
20.14,1,559.0
0.0,1,1980.0
22.29,1,4880.0
50.17,1,289.0
27.249999999999996,2,1292.0
26.32,3,700.0
0.0,1,299.0
30.03,2,1398.0
23.350000000000005,1,919.0
37.29,1,1599.0
0.0,1,4390.0
40.0,1,1200.0
58.19,1,500.0
59.699999999999996,1,798.0
42.24,1,1299.0
9.089999999999998,1,14000.0
0.0,1,1742.0
50.91,1,1080.0
28.859999999999996,1,249.0
20.199999999999996,1,2370.0
40.36,8,7582.0
22.040000000000003,2,6510.0
52.65,2,2879.0
61.01,1,811.0
45.56,2,2330.0
47.14,1,888.0
69.06,1,9900.0
63.67,1,1090.0
65.67,1,549.0
25.180000000000003,3,4765.0
68.15,2,5694.0
56.00000000000001,1,2464.0
8.699999999999996,2,1050.0
17.32,1,1480.0
0.0,1,757.0
70.30000000000001,1,588.0
18.64,2,14978.0
56.42,1,2310.0
60.0,1,880.0
15.590000000000003,1,590.0
34.17,2,13560.0
33.39,1,399.0
0.0,1,1500.0
0.0,1,845.0
62.18,4,3577.0
27.42,1,900.0
23.49,5,18134.0
0.0,1,352.0
76.08,1,299.0
25.0,1,1620.0
41.09,1,2589.0
45.17,2,5055.0
50.1,1,1759.0
32.3,1,8800.0
0.0,1,1266.0
0.0,2,819.0
33.330000000000005,1,416.0
37.55,1,612.0
66.67,1,19999.0
72.17,3,1241.0
